CEO,Gender,Company,Ticker,Industry,Founder,Years.as.company.CEO,Years.with.company,Age,Total.2008.compensation,2008.Salary,2008.Bonus,2008.Other,2008.Stock.gains,5-year.compensation.total,Shares.owned.($.millions),6-year.average.compensation,6-year.annual.total.return,6-year.return.relative.to.industry,6-year.return.relative.to.market,Performance.vs.pay.rank,Total.return.during.tenure,Relative.to.market
Kenneth I Chenault,M,American Express,AXP,Diversified Financials,No,8,28,57,15.89,1.25,0,9.5,5.14,98.28,19.3,18.52,-6%,95,92,171,-9%,93
John D Finnegan,M,Chubb,CB,Insurance,No,6,6,60,15.68,1.28,3.36,11.05,0,85.67,30.9,15.23,13%,118,111,44,8%,108
Steven W Alesio,M,Dun & Bradstreet,DNB,Business Services & Supplies,No,4,8,54,15.5,0.98,1.09,2.55,10.88,37.47,11.3,NA,NA,NA,NA,NA,8%,114
David M Zaslav,M,Discovery Communications,DISCA,Media,No,2,2,49,15.48,2,3.5,0.3,9.68,NA,0,NA,NA,NA,NA,NA,0%,121
W James McNerney Jr,M,Boeing,BA,Aerospace & Defense,No,4,4,59,15.41,1.92,1.48,12.02,0,48.09,15.1,NA,NA,NA,NA,NA,-10%,95
Martin L Orlowski,M,Lorillard,LO,Food Drink & Tobacco,No,10,10,67,15,2.2,11.7,0.76,0.34,NA,2.1,NA,NA,NA,NA,NA,17%,119
Christopher J Kearney,M,SPX,SPX,Conglomerates,No,4,12,53,14.15,1.05,2.73,10.37,0,37.88,21.6,NA,NA,NA,NA,NA,8%,114
Walter C Rakowich,M,ProLogis,PLD,Diversified Financials,No,0.5,15,51,14.1,0.63,0.42,3.3,9.75,NA,2.6,NA,NA,NA,NA,NA,NA,NA
Timothy P Smucker,M,JM Smucker,SJM,Food Drink & Tobacco,No,8,22,64,14.05,0.73,0.89,3.75,8.67,26.1,63.1,4.59,5%,99,103,77,8%,112
Lewis Hay III,M,FPL Group,FPL,Utilities,No,8,10,53,13.94,1.26,2.4,10.28,0,58.54,24.2,10.42,14%,105,112,56,11%,114
Peter J Rose,M,Expeditors Intl,EXPD,Transportation,No,21,28,66,13.74,0.11,5.82,0,7.81,45.67,38.9,8.11,11%,106,109,51,22%,113
David N Farr,M,Emerson Electric,EMR,Conglomerates,No,9,28,54,13.67,1.2,3,9.04,0.43,49.6,32.8,8.63,8%,103,106,94,2%,106
Robert A Eckert,M,Mattel,MAT,Household & Personal Products,No,9,9,54,13.2,1.25,0,1.72,10.23,31.68,0.4,7.42,-5%,91,93,138,3%,107
Nicholas D Chabraja,M,General Dynamics,GD,Aerospace & Defense,No,12,16,66,13.17,1.38,4.5,7.29,0,144.77,80.6,25.67,11%,104,109,110,9%,107
John V Faraci,M,International Paper,IP,Materials,No,6,35,59,13.03,1.26,1.58,10.2,0,42.43,10.3,NA,NA,NA,NA,NA,-23%,78
John D Wren,M,Omnicom Group,OMC,Media,No,12,25,56,12.98,1,1.75,0.2,10.03,90.76,26.9,15.73,1%,110,99,69,8%,105
Steven R Loranger,M,ITT,ITT,Conglomerates,No,5,5,57,12.88,1.12,2.53,9.23,0,40.11,12.4,NA,NA,NA,NA,NA,0%,104
William P Sullivan,M,Agilent Technologies,A,Technology Hardware & Equipment,No,4,33,60,12.87,0.99,1.31,8.85,1.73,35.19,3.9,NA,NA,NA,NA,NA,-7%,98
Jay S Fishman,M,Travelers Cos,TRV,Insurance,No,5,8,56,12.85,1,5,6.85,0,39.82,12.4,NA,NA,NA,NA,NA,3%,107
Theodore M Solso,M,Cummins,CMI,Capital Goods,No,9,38,62,12.61,1.21,1.06,10.33,0,57.15,20.4,10.32,32%,117,129,15,12%,117
